id	meta
doi:10.22175/mmb2017.10.0050	2682
doi:10.1155/2019/2015978	2683
doi:10.1007/978-3-662-26787-5_53	2684
doi:10.7203/creativity.1.12063	2685
doi:10.1080/01630563.2011.554948	2686
doi:10.1016/0022-2011(69)90178-5	2687
doi:10.1016/0925-4773(93)90020-x	2688
doi:10.1177/1056492602250515	2689
doi:10.1038/sj.jim.2900482	2690
doi:10.1023/a:1015525303754	2691
doi:10.1006/gcen.2001.7749	2692
doi:10.1088/0022-3719/16/7/004	2693
doi:10.1016/s1288-3255(99)80004-5	2694
doi:10.1016/s0160-4120(01)00120-9	2695
doi:10.1029/gl005i008p00637	2696
doi:10.1016/j.bandc.2006.01.009	2697
doi:10.1016/s0924-4247(02)00135-8	2698
doi:10.1080/0013191880400102	2699
doi:10.1007/s10853-006-0719-y	2700
doi:10.1016/j.apradiso.2006.02.094	2701
issn:2575-985X	2702
issn:2314-6133	2703
isbn:9783540032229	2704
issn:2603-6061	2705
issn:0163-0563	2706
issn:0022-2011	2707
issn:0925-4773	2708
issn:1056-4926	2709
issn:1367-5435	2710
issn:1385-0237	2711
issn:0016-6480	2712
issn:0022-3719	2713
issn:1288-3255	2714
issn:0160-4120	2715
issn:0094-8276	2716
issn:0278-2626	2717
issn:0924-4247	2718
issn:0013-1911	2719
issn:0022-2461	2720
issn:0969-8043	2721
